mot,definition_fr,traduction_en,exemple_fr,niveau,theme
correction,Mot frequent du niveau A2 utile dans le theme etudes.,correction,Je place le mot 'correction' dans une phrase d'entrainement TCF.,A2,Etudes
relecture,Mot frequent du niveau A2 utile dans le theme etudes.,relecture,Je place le mot 'relecture' dans une phrase d'entrainement TCF.,A2,Etudes
entrainement,Mot frequent du niveau A2 utile dans le theme etudes.,entrainement,Je place le mot 'entrainement' dans une phrase d'entrainement TCF.,A2,Etudes
repetition,Mot frequent du niveau A2 utile dans le theme etudes.,repetition,Je place le mot 'repetition' dans une phrase d'entrainement TCF.,A2,Etudes
memoire,Mot frequent du niveau A2 utile dans le theme etudes.,memoire,Je place le mot 'memoire' dans une phrase d'entrainement TCF.,A2,Etudes
expression,Mot frequent du niveau A2 utile dans le theme etudes.,expression,Je place le mot 'expression' dans une phrase d'entrainement TCF.,A2,Etudes
comprehension,Mot frequent du niveau A2 utile dans le theme etudes.,comprehension,Je place le mot 'comprehension' dans une phrase d'entrainement TCF.,A2,Etudes
ecrit,Mot frequent du niveau A2 utile dans le theme etudes.,ecrit,Je place le mot 'ecrit' dans une phrase d'entrainement TCF.,A2,Etudes
tache,Mot frequent du niveau A2 utile dans le theme etudes.,tache,Je place le mot 'tache' dans une phrase d'entrainement TCF.,A2,Etudes
sujet,Mot frequent du niveau A2 utile dans le theme etudes.,sujet,Je place le mot 'sujet' dans une phrase d'entrainement TCF.,A2,Etudes
production,Mot frequent du niveau A2 utile dans le theme etudes.,production,Je place le mot 'production' dans une phrase d'entrainement TCF.,A2,Etudes
deadline,Mot frequent du niveau A2 utile dans le theme etudes.,deadline,Je place le mot 'deadline' dans une phrase d'entrainement TCF.,A2,Etudes
adaptation,Mot frequent du niveau A2 utile dans le theme etudes.,adaptation,Je place le mot 'adaptation' dans une phrase d'entrainement TCF.,A2,Etudes
amelioration,Mot frequent du niveau A2 utile dans le theme etudes.,amelioration,Je place le mot 'amelioration' dans une phrase d'entrainement TCF.,A2,Etudes
performance,Mot frequent du niveau A2 utile dans le theme etudes.,performance,Je place le mot 'performance' dans une phrase d'entrainement TCF.,A2,Etudes
regularite,Mot frequent du niveau A2 utile dans le theme etudes.,regularite,Je place le mot 'regularite' dans une phrase d'entrainement TCF.,A2,Etudes
persistance,Mot frequent du niveau A2 utile dans le theme etudes.,persistance,Je place le mot 'persistance' dans une phrase d'entrainement TCF.,A2,Etudes
objectif-secondaire,Mot frequent du niveau A2 utile dans le theme etudes.,objectif-secondaire,Je place le mot 'objectif-secondaire' dans une phrase d'entrainement TCF.,A2,Etudes
mini-objectif,Mot frequent du niveau A2 utile dans le theme etudes.,mini-objectif,Je place le mot 'mini-objectif' dans une phrase d'entrainement TCF.,A2,Etudes
tableau,Mot frequent du niveau A2 utile dans le theme etudes.,tableau,Je place le mot 'tableau' dans une phrase d'entrainement TCF.,A2,Etudes
suivi,Mot frequent du niveau A2 utile dans le theme etudes.,suivi,Je place le mot 'suivi' dans une phrase d'entrainement TCF.,A2,Etudes
mesure,Mot frequent du niveau A2 utile dans le theme etudes.,mesure,Je place le mot 'mesure' dans une phrase d'entrainement TCF.,A2,Etudes
bilan,Mot frequent du niveau A2 utile dans le theme etudes.,bilan,Je place le mot 'bilan' dans une phrase d'entrainement TCF.,A2,Etudes
explication,Mot frequent du niveau A2 utile dans le theme etudes.,explication,Je place le mot 'explication' dans une phrase d'entrainement TCF.,A2,Etudes
correction-type,Mot frequent du niveau A2 utile dans le theme etudes.,correction-type,Je place le mot 'correction-type' dans une phrase d'entrainement TCF.,A2,Etudes
fiche,Mot frequent du niveau A2 utile dans le theme etudes.,fiche,Je place le mot 'fiche' dans une phrase d'entrainement TCF.,A2,Etudes
resumee,Mot frequent du niveau A2 utile dans le theme etudes.,resumee,Je place le mot 'resumee' dans une phrase d'entrainement TCF.,A2,Etudes
carte-mentale,Mot frequent du niveau A2 utile dans le theme etudes.,carte-mentale,Je place le mot 'carte-mentale' dans une phrase d'entrainement TCF.,A2,Etudes
prise-notes,Mot frequent du niveau A2 utile dans le theme etudes.,prise-notes,Je place le mot 'prise-notes' dans une phrase d'entrainement TCF.,A2,Etudes
methode-active,Mot frequent du niveau A2 utile dans le theme etudes.,methode-active,Je place le mot 'methode-active' dans une phrase d'entrainement TCF.,A2,Etudes
questionnement,Mot frequent du niveau A2 utile dans le theme etudes.,questionnement,Je place le mot 'questionnement' dans une phrase d'entrainement TCF.,A2,Etudes
verification,Mot frequent du niveau A2 utile dans le theme etudes.,verification,Je place le mot 'verification' dans une phrase d'entrainement TCF.,A2,Etudes
concours,Mot frequent du niveau A2 utile dans le theme etudes.,concours,Je place le mot 'concours' dans une phrase d'entrainement TCF.,A2,Etudes
inscription-tardive,Mot frequent du niveau A2 utile dans le theme etudes.,inscription-tardive,Je place le mot 'inscription-tardive' dans une phrase d'entrainement TCF.,A2,Etudes
centre-examen,Mot frequent du niveau A2 utile dans le theme etudes.,centre-examen,Je place le mot 'centre-examen' dans une phrase d'entrainement TCF.,A2,Etudes
candidat,Mot frequent du niveau A2 utile dans le theme etudes.,candidat,Je place le mot 'candidat' dans une phrase d'entrainement TCF.,A2,Etudes
identification,Mot frequent du niveau A2 utile dans le theme etudes.,identification,Je place le mot 'identification' dans une phrase d'entrainement TCF.,A2,Etudes
passeport,Mot frequent du niveau A2 utile dans le theme etudes.,passeport,Je place le mot 'passeport' dans une phrase d'entrainement TCF.,A2,Etudes
preuve,Mot frequent du niveau A2 utile dans le theme etudes.,preuve,Je place le mot 'preuve' dans une phrase d'entrainement TCF.,A2,Etudes
attendance,Mot frequent du niveau A2 utile dans le theme etudes.,attendance,Je place le mot 'attendance' dans une phrase d'entrainement TCF.,A2,Etudes
retard,Mot frequent du niveau A2 utile dans le theme etudes.,retard,Je place le mot 'retard' dans une phrase d'entrainement TCF.,A2,Etudes
absence,Mot frequent du niveau A2 utile dans le theme etudes.,absence,Je place le mot 'absence' dans une phrase d'entrainement TCF.,A2,Etudes
preparation-intense,Mot frequent du niveau A2 utile dans le theme etudes.,preparation-intense,Je place le mot 'preparation-intense' dans une phrase d'entrainement TCF.,A2,Etudes
preparation-progressive,Mot frequent du niveau A2 utile dans le theme etudes.,preparation-progressive,Je place le mot 'preparation-progressive' dans une phrase d'entrainement TCF.,A2,Etudes
blocage,Mot frequent du niveau A2 utile dans le theme etudes.,blocage,Je place le mot 'blocage' dans une phrase d'entrainement TCF.,A2,Etudes
stress,Mot frequent du niveau A2 utile dans le theme etudes.,stress,Je place le mot 'stress' dans une phrase d'entrainement TCF.,A2,Etudes
respiration,Mot frequent du niveau A2 utile dans le theme etudes.,respiration,Je place le mot 'respiration' dans une phrase d'entrainement TCF.,A2,Etudes
relaxation,Mot frequent du niveau A2 utile dans le theme etudes.,relaxation,Je place le mot 'relaxation' dans une phrase d'entrainement TCF.,A2,Etudes
pause-active,Mot frequent du niveau A2 utile dans le theme etudes.,pause-active,Je place le mot 'pause-active' dans une phrase d'entrainement TCF.,A2,Etudes
planning-hebdo,Mot frequent du niveau A2 utile dans le theme etudes.,planning-hebdo,Je place le mot 'planning-hebdo' dans une phrase d'entrainement TCF.,A2,Etudes
planning-quotidien,Mot frequent du niveau A2 utile dans le theme etudes.,planning-quotidien,Je place le mot 'planning-quotidien' dans une phrase d'entrainement TCF.,A2,Etudes
routine-habitude,Mot frequent du niveau A2 utile dans le theme etudes.,routine-habitude,Je place le mot 'routine-habitude' dans une phrase d'entrainement TCF.,A2,Etudes
collaboration,Mot frequent du niveau B1 utile dans le theme travail.,collaboration,Je place le mot 'collaboration' dans une phrase d'entrainement TCF.,B1,Travail
responsabilite,Mot frequent du niveau B1 utile dans le theme travail.,responsabilite,Je place le mot 'responsabilite' dans une phrase d'entrainement TCF.,B1,Travail
efficacite,Mot frequent du niveau B1 utile dans le theme travail.,efficacite,Je place le mot 'efficacite' dans une phrase d'entrainement TCF.,B1,Travail
productivite,Mot frequent du niveau B1 utile dans le theme travail.,productivite,Je place le mot 'productivite' dans une phrase d'entrainement TCF.,B1,Travail
flexibilite,Mot frequent du niveau B1 utile dans le theme travail.,flexibilite,Je place le mot 'flexibilite' dans une phrase d'entrainement TCF.,B1,Travail
coordination,Mot frequent du niveau B1 utile dans le theme travail.,coordination,Je place le mot 'coordination' dans une phrase d'entrainement TCF.,B1,Travail
gestion,Mot frequent du niveau B1 utile dans le theme travail.,gestion,Je place le mot 'gestion' dans une phrase d'entrainement TCF.,B1,Travail
priorisation,Mot frequent du niveau B1 utile dans le theme travail.,priorisation,Je place le mot 'priorisation' dans une phrase d'entrainement TCF.,B1,Travail
anticipation,Mot frequent du niveau B1 utile dans le theme travail.,anticipation,Je place le mot 'anticipation' dans une phrase d'entrainement TCF.,B1,Travail
mediation,Mot frequent du niveau B1 utile dans le theme travail.,mediation,Je place le mot 'mediation' dans une phrase d'entrainement TCF.,B1,Travail
communication,Mot frequent du niveau B1 utile dans le theme travail.,communication,Je place le mot 'communication' dans une phrase d'entrainement TCF.,B1,Travail
leadership,Mot frequent du niveau B1 utile dans le theme travail.,leadership,Je place le mot 'leadership' dans une phrase d'entrainement TCF.,B1,Travail
supervision,Mot frequent du niveau B1 utile dans le theme travail.,supervision,Je place le mot 'supervision' dans une phrase d'entrainement TCF.,B1,Travail
evaluation-interne,Mot frequent du niveau B1 utile dans le theme travail.,evaluation-interne,Je place le mot 'evaluation-interne' dans une phrase d'entrainement TCF.,B1,Travail
compte-rendu,Mot frequent du niveau B1 utile dans le theme travail.,compte-rendu,Je place le mot 'compte-rendu' dans une phrase d'entrainement TCF.,B1,Travail
rapport,Mot frequent du niveau B1 utile dans le theme travail.,rapport,Je place le mot 'rapport' dans une phrase d'entrainement TCF.,B1,Travail
professionnel,Mot frequent du niveau B1 utile dans le theme travail.,professionnel,Je place le mot 'professionnel' dans une phrase d'entrainement TCF.,B1,Travail
candidature,Mot frequent du niveau B1 utile dans le theme travail.,candidature,Je place le mot 'candidature' dans une phrase d'entrainement TCF.,B1,Travail
portfolio,Mot frequent du niveau B1 utile dans le theme travail.,portfolio,Je place le mot 'portfolio' dans une phrase d'entrainement TCF.,B1,Travail
experience-stage,Mot frequent du niveau B1 utile dans le theme travail.,experience-stage,Je place le mot 'experience-stage' dans une phrase d'entrainement TCF.,B1,Travail
competence-cle,Mot frequent du niveau B1 utile dans le theme travail.,competence-cle,Je place le mot 'competence-cle' dans une phrase d'entrainement TCF.,B1,Travail
objectif-projet,Mot frequent du niveau B1 utile dans le theme travail.,objectif-projet,Je place le mot 'objectif-projet' dans une phrase d'entrainement TCF.,B1,Travail
jalon,Mot frequent du niveau B1 utile dans le theme travail.,jalon,Je place le mot 'jalon' dans une phrase d'entrainement TCF.,B1,Travail
livrable,Mot frequent du niveau B1 utile dans le theme travail.,livrable,Je place le mot 'livrable' dans une phrase d'entrainement TCF.,B1,Travail
budget,Mot frequent du niveau B1 utile dans le theme travail.,budget,Je place le mot 'budget' dans une phrase d'entrainement TCF.,B1,Travail
contrainte,Mot frequent du niveau B1 utile dans le theme travail.,contrainte,Je place le mot 'contrainte' dans une phrase d'entrainement TCF.,B1,Travail
opportunite,Mot frequent du niveau B1 utile dans le theme travail.,opportunite,Je place le mot 'opportunite' dans une phrase d'entrainement TCF.,B1,Travail
amelioration-continue,Mot frequent du niveau B1 utile dans le theme travail.,amelioration-continue,Je place le mot 'amelioration-continue' dans une phrase d'entrainement TCF.,B1,Travail
methode-qualite,Mot frequent du niveau B1 utile dans le theme travail.,methode-qualite,Je place le mot 'methode-qualite' dans une phrase d'entrainement TCF.,B1,Travail
verification-formelle,Mot frequent du niveau B1 utile dans le theme travail.,verification-formelle,Je place le mot 'verification-formelle' dans une phrase d'entrainement TCF.,B1,Travail
protocole,Mot frequent du niveau B1 utile dans le theme travail.,protocole,Je place le mot 'protocole' dans une phrase d'entrainement TCF.,B1,Travail
indicateur,Mot frequent du niveau B1 utile dans le theme travail.,indicateur,Je place le mot 'indicateur' dans une phrase d'entrainement TCF.,B1,Travail
tableau-bord,Mot frequent du niveau B1 utile dans le theme travail.,tableau-bord,Je place le mot 'tableau-bord' dans une phrase d'entrainement TCF.,B1,Travail
suivi-projet,Mot frequent du niveau B1 utile dans le theme travail.,suivi-projet,Je place le mot 'suivi-projet' dans une phrase d'entrainement TCF.,B1,Travail
plan-action,Mot frequent du niveau B1 utile dans le theme travail.,plan-action,Je place le mot 'plan-action' dans une phrase d'entrainement TCF.,B1,Travail
orientation-carriere,Mot frequent du niveau B1 utile dans le theme travail.,orientation-carriere,Je place le mot 'orientation-carriere' dans une phrase d'entrainement TCF.,B1,Travail
insertion,Mot frequent du niveau B1 utile dans le theme travail.,insertion,Je place le mot 'insertion' dans une phrase d'entrainement TCF.,B1,Travail
reseau-professionnel,Mot frequent du niveau B1 utile dans le theme travail.,reseau-professionnel,Je place le mot 'reseau-professionnel' dans une phrase d'entrainement TCF.,B1,Travail
credibilite,Mot frequent du niveau B1 utile dans le theme travail.,credibilite,Je place le mot 'credibilite' dans une phrase d'entrainement TCF.,B1,Travail
argumentation-structurée,Mot frequent du niveau B1 utile dans le theme travail.,argumentation-structurée,Je place le mot 'argumentation-structurée' dans une phrase d'entrainement TCF.,B1,Travail
positionnement,Mot frequent du niveau B1 utile dans le theme travail.,positionnement,Je place le mot 'positionnement' dans une phrase d'entrainement TCF.,B1,Travail
analyse-synthese,Mot frequent du niveau B1 utile dans le theme travail.,analyse-synthese,Je place le mot 'analyse-synthese' dans une phrase d'entrainement TCF.,B1,Travail
lecture-critique,Mot frequent du niveau B1 utile dans le theme travail.,lecture-critique,Je place le mot 'lecture-critique' dans une phrase d'entrainement TCF.,B1,Travail
nuance-opinion,Mot frequent du niveau B1 utile dans le theme travail.,nuance-opinion,Je place le mot 'nuance-opinion' dans une phrase d'entrainement TCF.,B1,Travail
concession,Mot frequent du niveau B1 utile dans le theme travail.,concession,Je place le mot 'concession' dans une phrase d'entrainement TCF.,B1,Travail
opposition,Mot frequent du niveau B1 utile dans le theme travail.,opposition,Je place le mot 'opposition' dans une phrase d'entrainement TCF.,B1,Travail
consequence,Mot frequent du niveau B1 utile dans le theme travail.,consequence,Je place le mot 'consequence' dans une phrase d'entrainement TCF.,B1,Travail
causalite,Mot frequent du niveau B1 utile dans le theme travail.,causalite,Je place le mot 'causalite' dans une phrase d'entrainement TCF.,B1,Travail
scenario,Mot frequent du niveau B1 utile dans le theme travail.,scenario,Je place le mot 'scenario' dans une phrase d'entrainement TCF.,B1,Travail
probabilite,Mot frequent du niveau B1 utile dans le theme travail.,probabilite,Je place le mot 'probabilite' dans une phrase d'entrainement TCF.,B1,Travail
condition,Mot frequent du niveau B1 utile dans le theme travail.,condition,Je place le mot 'condition' dans une phrase d'entrainement TCF.,B1,Travail
global,Mot frequent du niveau B1 utile dans le theme travail.,global,Je place le mot 'global' dans une phrase d'entrainement TCF.,B1,Travail
local,Mot frequent du niveau B1 utile dans le theme travail.,local,Je place le mot 'local' dans une phrase d'entrainement TCF.,B1,Travail
soutenable,Mot frequent du niveau B1 utile dans le theme travail.,soutenable,Je place le mot 'soutenable' dans une phrase d'entrainement TCF.,B1,Travail
comparaison,Mot frequent du niveau B1 utile dans le theme travail.,comparaison,Je place le mot 'comparaison' dans une phrase d'entrainement TCF.,B1,Travail
distinction,Mot frequent du niveau B1 utile dans le theme travail.,distinction,Je place le mot 'distinction' dans une phrase d'entrainement TCF.,B1,Travail
priorite-sociale,Mot frequent du niveau B1 utile dans le theme travail.,priorite-sociale,Je place le mot 'priorite-sociale' dans une phrase d'entrainement TCF.,B1,Travail
inclusion,Mot frequent du niveau B1 utile dans le theme travail.,inclusion,Je place le mot 'inclusion' dans une phrase d'entrainement TCF.,B1,Travail
equite,Mot frequent du niveau B1 utile dans le theme travail.,equite,Je place le mot 'equite' dans une phrase d'entrainement TCF.,B1,Travail
accessibilite,Mot frequent du niveau B1 utile dans le theme travail.,accessibilite,Je place le mot 'accessibilite' dans une phrase d'entrainement TCF.,B1,Travail
citoyennete,Mot frequent du niveau B1 utile dans le theme travail.,citoyennete,Je place le mot 'citoyennete' dans une phrase d'entrainement TCF.,B1,Travail
engagement,Mot frequent du niveau B1 utile dans le theme travail.,engagement,Je place le mot 'engagement' dans une phrase d'entrainement TCF.,B1,Travail
implication-collective,Mot frequent du niveau B1 utile dans le theme travail.,implication-collective,Je place le mot 'implication-collective' dans une phrase d'entrainement TCF.,B1,Travail
benefice,Mot frequent du niveau B1 utile dans le theme travail.,benefice,Je place le mot 'benefice' dans une phrase d'entrainement TCF.,B1,Travail
limite,Mot frequent du niveau B1 utile dans le theme travail.,limite,Je place le mot 'limite' dans une phrase d'entrainement TCF.,B1,Travail
avantage-compétitif,Mot frequent du niveau B1 utile dans le theme travail.,avantage-compétitif,Je place le mot 'avantage-compétitif' dans une phrase d'entrainement TCF.,B1,Travail
vision-strategique,Mot frequent du niveau B1 utile dans le theme travail.,vision-strategique,Je place le mot 'vision-strategique' dans une phrase d'entrainement TCF.,B1,Travail
decision-eclairee,Mot frequent du niveau B1 utile dans le theme travail.,decision-eclairee,Je place le mot 'decision-eclairee' dans une phrase d'entrainement TCF.,B1,Travail
jugement,Mot frequent du niveau B1 utile dans le theme travail.,jugement,Je place le mot 'jugement' dans une phrase d'entrainement TCF.,B1,Travail
critique,Mot frequent du niveau B1 utile dans le theme travail.,critique,Je place le mot 'critique' dans une phrase d'entrainement TCF.,B1,Travail
observation,Mot frequent du niveau B1 utile dans le theme travail.,observation,Je place le mot 'observation' dans une phrase d'entrainement TCF.,B1,Travail
adaptabilite,Mot frequent du niveau B1 utile dans le theme travail.,adaptabilite,Je place le mot 'adaptabilite' dans une phrase d'entrainement TCF.,B1,Travail
transparence,Mot frequent du niveau B1 utile dans le theme travail.,transparence,Je place le mot 'transparence' dans une phrase d'entrainement TCF.,B1,Travail
coherente,Mot frequent du niveau B1 utile dans le theme travail.,coherente,Je place le mot 'coherente' dans une phrase d'entrainement TCF.,B1,Travail
dialectique,Mot frequent du niveau B2 utile dans le theme expression.,dialectique,Je place le mot 'dialectique' dans une phrase d'entrainement TCF.,B2,Expression
faisabilite,Mot frequent du niveau B2 utile dans le theme expression.,faisabilite,Je place le mot 'faisabilite' dans une phrase d'entrainement TCF.,B2,Expression
viabilite,Mot frequent du niveau B2 utile dans le theme expression.,viabilite,Je place le mot 'viabilite' dans une phrase d'entrainement TCF.,B2,Expression
responsabilisation,Mot frequent du niveau B2 utile dans le theme expression.,responsabilisation,Je place le mot 'responsabilisation' dans une phrase d'entrainement TCF.,B2,Expression
responsabilite-partagee,Mot frequent du niveau B2 utile dans le theme expression.,responsabilite-partagee,Je place le mot 'responsabilite-partagee' dans une phrase d'entrainement TCF.,B2,Expression
transversalite,Mot frequent du niveau B2 utile dans le theme expression.,transversalite,Je place le mot 'transversalite' dans une phrase d'entrainement TCF.,B2,Expression
interdisciplinarite,Mot frequent du niveau B2 utile dans le theme expression.,interdisciplinarite,Je place le mot 'interdisciplinarite' dans une phrase d'entrainement TCF.,B2,Expression
rationalisation,Mot frequent du niveau B2 utile dans le theme expression.,rationalisation,Je place le mot 'rationalisation' dans une phrase d'entrainement TCF.,B2,Expression
contextualisation,Mot frequent du niveau B2 utile dans le theme expression.,contextualisation,Je place le mot 'contextualisation' dans une phrase d'entrainement TCF.,B2,Expression
conceptualisation,Mot frequent du niveau B2 utile dans le theme expression.,conceptualisation,Je place le mot 'conceptualisation' dans une phrase d'entrainement TCF.,B2,Expression
operationalisation,Mot frequent du niveau B2 utile dans le theme expression.,operationalisation,Je place le mot 'operationalisation' dans une phrase d'entrainement TCF.,B2,Expression
standardisation,Mot frequent du niveau B2 utile dans le theme expression.,standardisation,Je place le mot 'standardisation' dans une phrase d'entrainement TCF.,B2,Expression
harmonisation,Mot frequent du niveau B2 utile dans le theme expression.,harmonisation,Je place le mot 'harmonisation' dans une phrase d'entrainement TCF.,B2,Expression
mutualisation,Mot frequent du niveau B2 utile dans le theme expression.,mutualisation,Je place le mot 'mutualisation' dans une phrase d'entrainement TCF.,B2,Expression
priorisation-avancee,Mot frequent du niveau B2 utile dans le theme expression.,priorisation-avancee,Je place le mot 'priorisation-avancee' dans une phrase d'entrainement TCF.,B2,Expression
contre-argument,Mot frequent du niveau B2 utile dans le theme expression.,contre-argument,Je place le mot 'contre-argument' dans une phrase d'entrainement TCF.,B2,Expression
contre-exemple,Mot frequent du niveau B2 utile dans le theme expression.,contre-exemple,Je place le mot 'contre-exemple' dans une phrase d'entrainement TCF.,B2,Expression
antithese,Mot frequent du niveau B2 utile dans le theme expression.,antithese,Je place le mot 'antithese' dans une phrase d'entrainement TCF.,B2,Expression
argumentative,Mot frequent du niveau B2 utile dans le theme expression.,argumentative,Je place le mot 'argumentative' dans une phrase d'entrainement TCF.,B2,Expression
concession-partielle,Mot frequent du niveau B2 utile dans le theme expression.,concession-partielle,Je place le mot 'concession-partielle' dans une phrase d'entrainement TCF.,B2,Expression
nuance-fine,Mot frequent du niveau B2 utile dans le theme expression.,nuance-fine,Je place le mot 'nuance-fine' dans une phrase d'entrainement TCF.,B2,Expression
implicite,Mot frequent du niveau B2 utile dans le theme expression.,implicite,Je place le mot 'implicite' dans une phrase d'entrainement TCF.,B2,Expression
inferentiel,Mot frequent du niveau B2 utile dans le theme expression.,inferentiel,Je place le mot 'inferentiel' dans une phrase d'entrainement TCF.,B2,Expression
demonstratif,Mot frequent du niveau B2 utile dans le theme expression.,demonstratif,Je place le mot 'demonstratif' dans une phrase d'entrainement TCF.,B2,Expression
justification-logique,Mot frequent du niveau B2 utile dans le theme expression.,justification-logique,Je place le mot 'justification-logique' dans une phrase d'entrainement TCF.,B2,Expression
articulation-textuelle,Mot frequent du niveau B2 utile dans le theme expression.,articulation-textuelle,Je place le mot 'articulation-textuelle' dans une phrase d'entrainement TCF.,B2,Expression
fluidite-discursive,Mot frequent du niveau B2 utile dans le theme expression.,fluidite-discursive,Je place le mot 'fluidite-discursive' dans une phrase d'entrainement TCF.,B2,Expression
densite-lexicale,Mot frequent du niveau B2 utile dans le theme expression.,densite-lexicale,Je place le mot 'densite-lexicale' dans une phrase d'entrainement TCF.,B2,Expression
precision-terminologique,Mot frequent du niveau B2 utile dans le theme expression.,precision-terminologique,Je place le mot 'precision-terminologique' dans une phrase d'entrainement TCF.,B2,Expression
coherence-globale,Mot frequent du niveau B2 utile dans le theme expression.,coherence-globale,Je place le mot 'coherence-globale' dans une phrase d'entrainement TCF.,B2,Expression
cohesion-thematique,Mot frequent du niveau B2 utile dans le theme expression.,cohesion-thematique,Je place le mot 'cohesion-thematique' dans une phrase d'entrainement TCF.,B2,Expression
structuration-hierarchique,Mot frequent du niveau B2 utile dans le theme expression.,structuration-hierarchique,Je place le mot 'structuration-hierarchique' dans une phrase d'entrainement TCF.,B2,Expression
progression-logique,Mot frequent du niveau B2 utile dans le theme expression.,progression-logique,Je place le mot 'progression-logique' dans une phrase d'entrainement TCF.,B2,Expression
ancrage-contextuel,Mot frequent du niveau B2 utile dans le theme expression.,ancrage-contextuel,Je place le mot 'ancrage-contextuel' dans une phrase d'entrainement TCF.,B2,Expression
validite,Mot frequent du niveau B2 utile dans le theme expression.,validite,Je place le mot 'validite' dans une phrase d'entrainement TCF.,B2,Expression
fiabilite-metrique,Mot frequent du niveau B2 utile dans le theme expression.,fiabilite-metrique,Je place le mot 'fiabilite-metrique' dans une phrase d'entrainement TCF.,B2,Expression
comparabilite,Mot frequent du niveau B2 utile dans le theme expression.,comparabilite,Je place le mot 'comparabilite' dans une phrase d'entrainement TCF.,B2,Expression
objectivation,Mot frequent du niveau B2 utile dans le theme expression.,objectivation,Je place le mot 'objectivation' dans une phrase d'entrainement TCF.,B2,Expression
subjectivite,Mot frequent du niveau B2 utile dans le theme expression.,subjectivite,Je place le mot 'subjectivite' dans une phrase d'entrainement TCF.,B2,Expression
mesure-qualitative,Mot frequent du niveau B2 utile dans le theme expression.,mesure-qualitative,Je place le mot 'mesure-qualitative' dans une phrase d'entrainement TCF.,B2,Expression
mesure-quantitative,Mot frequent du niveau B2 utile dans le theme expression.,mesure-quantitative,Je place le mot 'mesure-quantitative' dans une phrase d'entrainement TCF.,B2,Expression
interpretation-critique,Mot frequent du niveau B2 utile dans le theme expression.,interpretation-critique,Je place le mot 'interpretation-critique' dans une phrase d'entrainement TCF.,B2,Expression
limites-methodologiques,Mot frequent du niveau B2 utile dans le theme expression.,limites-methodologiques,Je place le mot 'limites-methodologiques' dans une phrase d'entrainement TCF.,B2,Expression
biais-echantillonnage,Mot frequent du niveau B2 utile dans le theme expression.,biais-echantillonnage,Je place le mot 'biais-echantillonnage' dans une phrase d'entrainement TCF.,B2,Expression
representativite,Mot frequent du niveau B2 utile dans le theme expression.,representativite,Je place le mot 'representativite' dans une phrase d'entrainement TCF.,B2,Expression
robustesse,Mot frequent du niveau B2 utile dans le theme expression.,robustesse,Je place le mot 'robustesse' dans une phrase d'entrainement TCF.,B2,Expression
reproductibilite,Mot frequent du niveau B2 utile dans le theme expression.,reproductibilite,Je place le mot 'reproductibilite' dans une phrase d'entrainement TCF.,B2,Expression
causalite-inversee,Mot frequent du niveau B2 utile dans le theme expression.,causalite-inversee,Je place le mot 'causalite-inversee' dans une phrase d'entrainement TCF.,B2,Expression
correlat,Mot frequent du niveau B2 utile dans le theme expression.,correlat,Je place le mot 'correlat' dans une phrase d'entrainement TCF.,B2,Expression
convergence,Mot frequent du niveau B2 utile dans le theme expression.,convergence,Je place le mot 'convergence' dans une phrase d'entrainement TCF.,B2,Expression
divergence,Mot frequent du niveau B2 utile dans le theme expression.,divergence,Je place le mot 'divergence' dans une phrase d'entrainement TCF.,B2,Expression
arbitrage,Mot frequent du niveau B2 utile dans le theme expression.,arbitrage,Je place le mot 'arbitrage' dans une phrase d'entrainement TCF.,B2,Expression
compromis,Mot frequent du niveau B2 utile dans le theme expression.,compromis,Je place le mot 'compromis' dans une phrase d'entrainement TCF.,B2,Expression
optimisation,Mot frequent du niveau B2 utile dans le theme expression.,optimisation,Je place le mot 'optimisation' dans une phrase d'entrainement TCF.,B2,Expression
allocation,Mot frequent du niveau B2 utile dans le theme expression.,allocation,Je place le mot 'allocation' dans une phrase d'entrainement TCF.,B2,Expression
efficience,Mot frequent du niveau B2 utile dans le theme expression.,efficience,Je place le mot 'efficience' dans une phrase d'entrainement TCF.,B2,Expression
gouvernance,Mot frequent du niveau B2 utile dans le theme expression.,gouvernance,Je place le mot 'gouvernance' dans une phrase d'entrainement TCF.,B2,Expression
compliance,Mot frequent du niveau B2 utile dans le theme expression.,compliance,Je place le mot 'compliance' dans une phrase d'entrainement TCF.,B2,Expression
deontologie,Mot frequent du niveau B2 utile dans le theme expression.,deontologie,Je place le mot 'deontologie' dans une phrase d'entrainement TCF.,B2,Expression
ethique-professionnelle,Mot frequent du niveau B2 utile dans le theme expression.,ethique-professionnelle,Je place le mot 'ethique-professionnelle' dans une phrase d'entrainement TCF.,B2,Expression
integrite,Mot frequent du niveau B2 utile dans le theme expression.,integrite,Je place le mot 'integrite' dans une phrase d'entrainement TCF.,B2,Expression
reformulation-avancee,Mot frequent du niveau B2 utile dans le theme expression.,reformulation-avancee,Je place le mot 'reformulation-avancee' dans une phrase d'entrainement TCF.,B2,Expression
paraphrase,Mot frequent du niveau B2 utile dans le theme expression.,paraphrase,Je place le mot 'paraphrase' dans une phrase d'entrainement TCF.,B2,Expression
distanciation,Mot frequent du niveau B2 utile dans le theme expression.,distanciation,Je place le mot 'distanciation' dans une phrase d'entrainement TCF.,B2,Expression
argument-massue,Mot frequent du niveau B2 utile dans le theme expression.,argument-massue,Je place le mot 'argument-massue' dans une phrase d'entrainement TCF.,B2,Expression
